FITS_File,JD,Predicted_RA_deg,Predicted_DEC_deg,Detected,Centroid_X_px,Centroid_Y_px,Detected_RA_deg,Detected_DEC_deg,Uncertainty_px
016238_0019_4953_REDUCED.fits,2460614.535289352,10.86219375008801,-36.74289907408711,True,670.6008736381555,499.0119390050044,10.86203182268937,-36.74292938330225,0.5
016238_0020_4953_REDUCED.fits,2460614.535439815,10.862112500067056,-36.74288703704698,True,670.7376351918166,498.8361545289938,10.862103420087609,-36.742886481211784,0.5
016238_0021_4953_REDUCED.fits,2460614.535590278,10.862031250000001,-36.742875000000005,True,670.4837648800324,499.0899314196502,10.861890492631007,-36.742852291043235,0.5
016238_0022_4953_REDUCED.fits,2460614.535729167,10.861956249899418,-36.74286388887399,True,670.2652722043318,499.2026660857599,10.861730530754116,-36.74285765265493,0.5
016238_0023_4953_REDUCED.fits,2460614.53587963,10.861874999832361,-36.74285185182702,True,670.0862562473932,499.2252050089695,10.861720565027033,-36.742866970081124,0.5
016238_0024_4953_REDUCED.fits,2460614.536030093,10.861793749765306,-36.74283981478005,True,670.1577457899358,499.1895871249186,10.861716176430217,-36.742854126517834,0.5
016238_0025_4953_REDUCED.fits,2460614.536168981,10.861718750419094,-36.742828703765795,True,670.0870280272651,499.204475242417,10.861548242303883,-36.742892033315165,0.5
016238_0026_4953_REDUCED.fits,2460614.536319444,10.861637500352039,-36.742816666718824,True,670.030553375129,499.24457060355667,10.861527393760301,-36.74286399146333,0.5
016238_0027_4953_REDUCED.fits,2460614.536469907,10.861556250284984,-36.74280462967185,True,669.7613455915335,499.1209181334282,10.861406572091926,-36.74289238066935,0.5
016238_0028_4953_REDUCED.fits,2460614.536620371,10.861474999715016,-36.74279259255038,True,669.7849731737788,499.2090866795685,10.861345123939302,-36.74281101600349,0.5
016238_0029_4953_REDUCED.fits,2460614.536759259,10.861400000117348,-36.742781481498874,True,669.6995879447323,499.3342224478749,10.861301079564592,-36.74277908879199,0.5
016238_0030_4953_REDUCED.fits,2460614.536909722,10.861312500335277,-36.742773611133465,True,668.9986146815993,499.11988463072265,10.861124201184523,-36.74281869557233,0.5
016238_0031_4953_REDUCED.fits,2460614.537060185,10.861222222482994,-36.74276759260998,True,668.8021782760409,499.2379059930932,10.861112093885474,-36.74279233031091,0.5
016238_0032_4953_REDUCED.fits,2460614.537199074,10.8611388890379,-36.74276203704697,True,668.4729637678796,499.2070973234269,10.861057973515456,-36.74276421001944,0.5
016238_0033_4953_REDUCED.fits,2460614.537349537,10.861048611185616,-36.74275601852349,True,667.9042237217009,499.15533914824186,10.860906222228065,-36.74278950056632,0.5
016238_0034_4953_REDUCED.fits,2460614.5375,10.860958333333333,-36.74275,True,667.4262271304751,499.1081469737991,10.860844274279977,-36.74276746789014,0.5
016238_0035_4953_REDUCED.fits,2460614.537638889,10.86088333323275,-36.74273888887399,True,667.7190643845161,499.13940897291974,10.860776931530403,-36.74273932127327,0.5
016238_0036_4953_REDUCED.fits,2460614.537789352,10.860802083417152,-36.74272685186427,True,667.5984109648075,499.33477586450744,10.860783369166139,-36.74268579819315,0.5
016238_0037_4953_REDUCED.fits,2460614.537939815,10.860720833350097,-36.7427148148173,True,667.2309622139167,499.27133057624667,10.860656057770814,-36.74273040602291,0.5
016238_0038_4953_REDUCED.fits,2460614.538078704,10.860645833249515,-36.74270370369129,True,667.1049886707382,499.17219623785866,10.860519223412904,-36.74272753791653,0.5
016238_0039_4953_REDUCED.fits,2460614.538229167,10.86056458318246,-36.74269166664432,True,667.1573174659874,499.52942390936465,10.860449480921401,-36.74266123921416,0.5
016238_0040_4953_REDUCED.fits,2460614.53837963,10.860483333115404,-36.74267962959735,True,666.9537639903093,499.44264644861835,10.860357821592892,-36.742656250393,0.5
016238_0041_4953_REDUCED.fits,2460614.538518519,10.86040833301482,-36.74266851847133,True,666.9438215207439,499.45085294439775,10.860364019875679,-36.74266867223923,0.5
016238_0042_4953_REDUCED.fits,2460614.538668981,10.860327083702137,-36.74265648153612,True,666.6703929928136,499.5541052084374,10.86025997906552,-36.74264519191735,0.5
016238_0043_4953_REDUCED.fits,2460614.538819444,10.860245833635082,-36.74264444448915,True,666.5075418269856,499.55454798552654,10.86012774784067,-36.74264084432233,0.5
016238_0044_4953_REDUCED.fits,2460614.538958333,10.860170833534498,-36.74263333336314,True,666.3723988372874,499.6401825866908,10.860075611081298,-36.7426254173626,0.5
016238_0045_4953_REDUCED.fits,2460614.539108797,10.860089582964529,-36.74262129624166,True,666.3049949189988,499.5931844858748,10.860044132249337,-36.74261495560333,0.5
016238_0046_4953_REDUCED.fits,2460614.539259259,10.860008333400389,-36.742609259269194,True,665.9265650644122,499.34318992237854,10.85987427260872,-36.74266193054505,0.5
016238_0047_4953_REDUCED.fits,2460614.539409722,10.859927083333334,-36.74259722222222,True,665.6130970415895,499.4247284245003,10.859780817815356,-36.74260463788831,0.5
016238_0048_4953_REDUCED.fits,2460614.539548611,10.859852083484208,-36.74258611113346,True,665.7272629950091,499.30770485179386,10.859732699301029,-36.7426206993715,0.5
016238_0049_4953_REDUCED.fits,2460614.539699074,10.859770833417153,-36.74257870370992,True,665.5412676922994,499.49571704781243,10.859695580730701,-36.742584552838984,0.5
016238_0050_4953_REDUCED.fits,2460614.539849537,10.859689583350097,-36.74257268518643,True,665.0122639034743,499.4512474230064,10.85957434277382,-36.74258429195404,0.5
016238_0051_4953_REDUCED.fits,2460614.539988426,10.859614583249515,-36.742567129623424,True,664.6953921946716,499.33582801423347,10.859556127427824,-36.742645692382766,0.5
016238_0052_4953_REDUCED.fits,2460614.540138889,10.859533333182458,-36.74256111109994,True,664.0419922665452,499.4860035871222,10.859370044334842,-36.74257106234794,0.5
016238_0053_4953_REDUCED.fits,2460614.540289352,10.859452083115404,-36.74255462959734,True,664.01101586396,499.4418483242966,10.85935367787757,-36.74255436159473,0.5
016238_0054_4953_REDUCED.fits,2460614.540428241,10.859377083266278,-36.74254351850858,True,663.9495898859076,499.29987415967025,10.859263299982299,-36.7425946147854,0.5
016238_0055_4953_REDUCED.fits,2460614.540578704,10.859295833199223,-36.74253148146161,True,663.9424616272885,499.48085889681636,10.859195429760092,-36.74254215933372,0.5
016238_0056_4953_REDUCED.fits,2460614.540729166,10.859214583635083,-36.74251944448915,True,663.7388943745909,499.3363230769912,10.859082555103818,-36.74259051206381,0.5
016238_0057_4953_REDUCED.fits,2460614.540868056,10.859139583031585,-36.742508333288626,True,663.8951531106303,499.6114029211961,10.859047554793948,-36.74249906080816,0.5
016238_0058_4953_REDUCED.fits,2460614.541018519,10.85905833296453,-36.74249629624166,True,664.0150973930046,499.5496453712627,10.859019603052051,-36.7425285144044,0.5
016238_0059_4953_REDUCED.fits,2460614.541168982,10.858977082897475,-36.74248425919469,True,663.6882382369571,499.72454883881255,10.858886495569775,-36.74249787806055,0.5
016238_0060_4953_REDUCED.fits,2460614.54130787,10.858902083551262,-36.74247314818044,True,663.4891421769473,499.7066243513794,10.858870927561162,-36.74246334118083,0.5
016238_0061_4953_REDUCED.fits,2460614.541458333,10.858820833484208,-36.742461111133466,True,663.0984139279423,499.66746990920836,10.858655769019693,-36.74244716654922,0.5
016238_0062_4953_REDUCED.fits,2460614.541608796,10.858739583417151,-36.742449074086494,True,663.1474448687254,499.808259994437,10.858626519397399,-36.74248171480602,0.5
016238_0063_4953_REDUCED.fits,2460614.541747685,10.85866458331657,-36.74244120370246,True,662.9203676145875,499.8646134739536,10.85855340253054,-36.74243978334645,0.5
016238_0064_4953_REDUCED.fits,2460614.541898148,10.858583333249515,-36.74243518517898,True,662.9139134591805,499.9200626167748,10.858418361792868,-36.74243750971942,0.5
016238_0065_4953_REDUCED.fits,2460614.542048611,10.85850208318246,-36.74242916665549,True,662.9453419527068,500.1428661960584,10.858406508568573,-36.74245133186124,0.5
016238_0066_4953_REDUCED.fits,2460614.542199074,10.858420833366862,-36.742423148150635,True,662.807392312808,500.24938363283877,10.858363249827802,-36.74242084350169,0.5
016238_0067_4953_REDUCED.fits,2460614.542337963,10.858345833266279,-36.74241759258763,True,662.4864682551182,500.0931314742471,10.85821714130749,-36.74243632981526,0.5
016238_0068_4953_REDUCED.fits,2460614.542488426,10.858264583245324,-36.74240648146844,True,662.1141977660634,500.2161035740154,10.858169326611632,-36.74244163075114,0.5
016238_0069_4953_REDUCED.fits,2460614.542638889,10.85818333323275,-36.74239444442954,True,661.8132406754297,499.96842088486244,10.85807648876259,-36.74237145995119,0.5
016238_0070_4953_REDUCED.fits,2460614.542777778,10.858108333182459,-36.74238333331098,True,661.3444240665931,499.82125586543646,10.8580001410841,-36.742388936206154,0.5
